city,company,jobtitle,jobkey,description,url,expired
Portland,U.S. Bank,Credit Analyst 4,ed80f81fa150bf5b,Credit Analyst 4-170035566. Excellent technical report writing skills. Average Hours Per Week 40. The fifth-largest bank in the United States| we’re one of the...,http://www.indeed.com/viewjob?jk=ed80f81fa150bf5b&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Vancouver,The Vancouver Clinic,Revenue Integrity Analyst,900460db457b643a,Assist financial leaders in resolving revenue variances as requested. Bachelor’s Degree or equivalent combination of education and/or work experience....,http://www.indeed.com/viewjob?jk=900460db457b643a&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Vancouver,Holland Residential,Government Affairs Analyst,48277d9f01c15073,Conduct ad-hoc market| policy and financial analysis. Bachelor’s Degree in real estate| development| urban studies| economics| political science| or related...,http://www.indeed.com/viewjob?jk=48277d9f01c15073&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Banfield Pet Hospital,Sr. Analyst  Real Estate,903186c96b2bd46f,Sales forecast models| new hospital and competitive cannibalization models| and categorical inventory models....,http://www.indeed.com/viewjob?jk=903186c96b2bd46f&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Tigard,State of Oregon,Alternatives Investment Officer,db29b28dc587a855,Eligible veterans who meet the qualifications will be given veterans' preference. The Chartered Financial Analyst (CFA) designation or Chartered Alternative...,http://www.indeed.com/viewjob?jk=db29b28dc587a855&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Banfield Pet Hospital,Business Analyst Oracle HCM,a177e24fc9edc7e3,Bachelor’s degree in business or computer science preferred| or the equivalent combination of education| training and experience that provides the required...,http://www.indeed.com/viewjob?jk=a177e24fc9edc7e3&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Saint Helens,Community Action Team  Inc.,Fiscal Accounting Coordinator,d9c8157bdb311477,Submit assigned financial reports in a timely manner. Assist in the agency annual financial audit as needed....,http://www.indeed.com/viewjob?jk=d9c8157bdb311477&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Milwaukie,State of Oregon,Human Resource Analyst 2,5104e9d47b9f9b57,Valid Certification as a Professional in Human Resource awarded by the Human Resource Certification Institute| and three years Human Resource professional-level...,http://www.indeed.com/viewjob?jk=5104e9d47b9f9b57&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Oregon Health & Science University,Oracle Business Analyst,373620eda089207f,Must be able to communicate clearly to all levels of co-workers| technical management| internal customers| and / or external vendors....,http://www.indeed.com/viewjob?jk=373620eda089207f&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Marsh,Senior H&B Consulting Analyst,5ffbc5589e437648,Understand vendor/carrier markets| more advanced underwriting and financial skills| Health &amp; Benefit products| services and technical tools| and intranet...,http://www.indeed.com/viewjob?jk=5ffbc5589e437648&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Creative Financial Staffing,Financial Analyst,921695f5504ed2be,Financial Analyst Mission Driven. Skills needed in this Financial Analyst Role:. Analyze financial information to determine present and future financial...,http://www.indeed.com/viewjob?jk=921695f5504ed2be&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Vacasa,Business Systems Analyst - Portland  OR,d5a5368560dc6e58,Experience with financial system setup. Bachelor’s Degree in Accounting| Finance| or a related field; What We’re Looking For:....,http://www.indeed.com/viewjob?jk=d5a5368560dc6e58&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Vancouver,360 Resource,Financial Analyst for Growing Company in Vancouver,cf52cd4adf58d140,Solid understand of financial concepts. We have an open *Financial Analyst*. This company is a &quot;roll-up-your-sleeves&quot; and &quot;get the job done&quot; operation.The open...,http://www.indeed.com/viewjob?jk=cf52cd4adf58d140&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
