city,company,jobtitle,jobkey,description,url,expired
Houston,Komreal,Web Developer - PHP / LAMP / JS,3372ed798366a451,This is a role for experienced web application programmers only. We’re looking for talented web developer with responsibilities include....,http://www.indeed.com/viewjob?jk=3372ed798366a451&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Primary Arms  LLC,Front-End Web Developer/Programer,8b1b303e20ad6a95,Web Development/ Programmer:. Front-End Web Developer/ Programmer (Houston| TX)*. We are Primary Arms| and we’re looking to hire a Front-End Web Developer...,http://www.indeed.com/viewjob?jk=8b1b303e20ad6a95&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Primary Arms  LLC,Front-End Web Developer/Designer,d4f548f8bd20daff,*Front-End Web Developer/Designer (Houston| TX)* We are Primary Arms| and we’re looking to hire a Front-End Web Developer/Designer for our exciting e...,http://www.indeed.com/viewjob?jk=d4f548f8bd20daff&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Etech Hi Inc.,Software Programmer,797c5d605a37c3af,Software Programmer Company is the world leader in providing measurement solutions to the oil and gas industry| has an opportunity for a self-starter on our...,http://www.indeed.com/viewjob?jk=797c5d605a37c3af&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Versa Tech,PLC Programmer/Designer,48d045ee96a60940,PLC Programmer / Designer based in Houston| Texas. Primary responsibilities are as follows:....,http://www.indeed.com/viewjob?jk=48d045ee96a60940&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,ENGlobal,Application Engineer - Houston,9396de372d9a105b,Accomplished C#| .NET &amp; SQL Database programmer with application design| and GUI development experience. Application Engineer - Houston....,http://www.indeed.com/viewjob?jk=9396de372d9a105b&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,EML Incorporated,Application Developer,f95fbd1d6cefa966,Programmer to work on small enhancement projects as well as resolve break-fix issues related to IBM supported POWER BUILDER applications....,http://www.indeed.com/viewjob?jk=f95fbd1d6cefa966&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Love's Travel Stops & Country Stores,RightAngle Developer,01649113cf9ae68a,Related experience or education in the domains of business analysis| project management| or programmer analyst....,http://www.indeed.com/viewjob?jk=01649113cf9ae68a&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Pamten,OpenText Programmer Analyst,f05c213a8187c436,Location: Houston|TX Duration: 2 years Interview: F2F Job description OpenText Analyst is responsible for designing| developing and deploying OpenText...,http://www.indeed.com/viewjob?jk=f05c213a8187c436&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Harris County,Applications Systems Analyst Programmer II,94bb10f71e463d1b,The incumbent will be responsible for the development and maintenance of all applications and databases necessary to support the department's functional...,http://www.indeed.com/viewjob?jk=94bb10f71e463d1b&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
